date,value
2023-01-01,55.09213308235436
2023-01-02,58.1641098069501
2023-01-03,64.68337417555107
2023-01-04,65.16492516176909
2023-01-05,69.09882405041947
2023-01-06,66.54344369159071
2023-01-07,79.27285041772228
2023-01-08,83.35844248038981
2023-01-09,72.70470365855749
2023-01-10,70.24291156828902
2023-01-11,70.17882983010355
2023-01-12,73.62393939707
2023-01-13,60.74686886768016
2023-01-14,53.03803590071208
2023-01-15,54.37151568832799
2023-01-16,50.15195064644213
2023-01-17,46.19695758508909
2023-01-18,49.03871077670182
2023-01-19,38.91385910855641
2023-01-20,44.73698908690195
2023-01-21,36.826248190810794
2023-01-22,32.52144973074383
2023-01-23,35.18724686529889
2023-01-24,39.27666615551009
2023-01-25,35.210384287167834
2023-01-26,42.10542522734817
2023-01-27,44.97038147479255
2023-01-28,46.54837937936203
2023-01-29,55.03163411563575
2023-01-30,54.66375448612018
2023-01-31,70.16457997432914
2023-02-01,60.930601483236245
2023-02-02,69.1327378052143
2023-02-03,74.13222070352951
2023-02-04,73.88244953890903
2023-02-05,77.42968856685182
2023-02-06,92.71748402050217
2023-02-07,85.13917278731333
2023-02-08,91.78702090113461
2023-02-09,79.20859564106428
2023-02-10,70.85761204566336
2023-02-11,71.61536049106589
2023-02-12,75.12730478514516
2023-02-13,68.31077832484779
2023-02-14,57.624669456220616
2023-02-15,57.91885867446096
2023-02-16,52.92549515702509
2023-02-17,51.66106198580293
2023-02-18,43.01403282160722
2023-02-19,58.11368652074343
2023-02-20,45.871168365275274
2023-02-21,46.61478973822471
2023-02-22,46.50090328719665
2023-02-23,49.496417184070054
2023-02-24,49.09297201872094
2023-02-25,54.68836387378327
2023-02-26,44.39547027094641
2023-02-27,53.62702433447784
2023-02-28,59.614101645383876
2023-03-01,66.15398958447504
2023-03-02,67.1935608443521
2023-03-03,70.63139844891138
2023-03-04,75.97869515142472
2023-03-05,81.74122471178279
2023-03-06,92.4677692005759
2023-03-07,89.74568382331526
2023-03-08,87.9470050866012
2023-03-09,77.19300529796209
2023-03-10,87.29213482199829
2023-03-11,90.54166785466926
2023-03-12,81.44828346511571
2023-03-13,75.26170399107886
2023-03-14,77.59455416021211
2023-03-15,73.85235980841216
2023-03-16,67.47751739229814
2023-03-17,66.50005781578027
2023-03-18,62.87086209037344
2023-03-19,58.31860682485531
2023-03-20,53.82552797202754
2023-03-21,51.99946521691572
2023-03-22,52.15229293486029
2023-03-23,50.522569382301405
2023-03-24,52.27914020315297
2023-03-25,55.674152849760766
2023-03-26,52.624224789135205
2023-03-27,64.06321390470474
2023-03-28,50.53323270662422
2023-03-29,62.82002136707549
2023-03-30,71.66347309422453
2023-03-31,80.69946716933109
2023-04-01,80.1195318907912
2023-04-02,85.1136016523453
2023-04-03,84.95016796608756
2023-04-04,94.29232876916738
2023-04-05,93.95200224867934
2023-04-06,96.92991309086072
2023-04-07,98.52958723318737
2023-04-08,94.94643439655141
2023-04-09,94.55537434185665
2023-04-10,82.16738534557331
2023-04-11,95.7367747321581
2023-04-12,88.43134045576531
2023-04-13,97.65358871590625
2023-04-14,82.64006293694068
2023-04-15,72.09173852812019
2023-04-16,75.92247939767037
2023-04-17,66.3760187886354
2023-04-18,64.7987691787616
2023-04-19,60.076184212002424
2023-04-20,69.27864876589476
2023-04-21,57.45119212806735
2023-04-22,60.67772211648248
2023-04-23,58.195225667043346
2023-04-24,57.93644218683839
2023-04-25,64.57832455514779
2023-04-26,77.29559354835294
2023-04-27,66.80604862712248
2023-04-28,71.19730699604064
2023-04-29,78.41029705023756
2023-04-30,68.37519979096139
2023-05-01,79.21876504942736
2023-05-02,85.60405388209155
2023-05-03,97.15621952764803
2023-05-04,91.1722755326045
2023-05-05,101.2407538247894
2023-05-06,100.74905519978132
2023-05-07,95.25624234580562
2023-05-08,114.7895526722403
2023-05-09,99.85266217395349
2023-05-10,96.95460913505794
2023-05-11,103.08900559371604
2023-05-12,97.24494822508811
2023-05-13,92.97515154644593
2023-05-14,93.55298313912452
2023-05-15,83.98072396402267
2023-05-16,92.34615876023373
2023-05-17,72.54509692488732
2023-05-18,77.09238412258762
2023-05-19,73.34553523290661
2023-05-20,74.7866366388761
2023-05-21,68.78636282290556
2023-05-22,63.416768720787026
2023-05-23,65.43697672219503
2023-05-24,54.67734935666864
2023-05-25,76.98383660577369
2023-05-26,79.34880608275964
2023-05-27,72.8437792832357
2023-05-28,71.35739975687572
2023-05-29,82.61227667054276
2023-05-30,105.64072772326529
2023-05-31,94.25747312014681
2023-06-01,103.23064137928897
2023-06-02,108.50641059758301
2023-06-03,106.59652540928236
2023-06-04,115.5091363597709
2023-06-05,118.12768931480447
2023-06-06,122.01667164240021
2023-06-07,110.31934872665484
2023-06-08,117.97286983023722
2023-06-09,110.08942406635038
2023-06-10,113.31247507306408
2023-06-11,98.81980259690432
2023-06-12,96.15272187633178
2023-06-13,99.74282849485968
2023-06-14,94.42557413857327
2023-06-15,87.7795465040052
2023-06-16,92.11689625537993
2023-06-17,80.0592225745735
2023-06-18,76.38070932733666
2023-06-19,74.45423076793068
2023-06-20,81.44343964055604
2023-06-21,70.87017820204369
2023-06-22,69.44066598604627
2023-06-23,77.79446578757238
2023-06-24,77.1875640518582
2023-06-25,86.37700700263888
2023-06-26,82.46910779244988
2023-06-27,92.02556539211217
2023-06-28,83.38842761164672
2023-06-29,100.85007980059294
2023-06-30,106.23046831836794
2023-07-01,108.26850033476424
2023-07-02,115.1507282510329
2023-07-03,107.96509953767318
2023-07-04,121.4114311280478
2023-07-05,114.42402399146347
2023-07-06,114.6998245512915
2023-07-07,119.70088870977267
